gene_symbol	ensembl	version
ENSG00000279151	ENSG00000279151	v39
ENSG00000282740	ENSG00000282740	v39
CROCC	ENSG00000058453	v39
CROCCP4	ENSG00000227684	v39
RNU1-4	ENSG00000207389	v39
MST1L	ENSG00000186715	v39
ENSG00000223643	ENSG00000223643	v39
PDE4DIPP9	ENSG00000230239	v39
MIR3675	ENSG00000263811	v39
ENSG00000228549	ENSG00000228549	v39
RNU1-5P	ENSG00000277234	v39
ENSG00000238142	ENSG00000238142	v39
ENSG00000235241	ENSG00000235241	v39
RNU1-2	ENSG00000207005	v39
ENSG00000272426	ENSG00000272426	v39
MFAP2	ENSG00000117122	v39
ENSG00000286898	ENSG00000286898	v39
ENSG00000226526	ENSG00000226526	v39
ATP13A2	ENSG00000159363	v39
ENSG00000288636	ENSG00000288636	v39
SDHB	ENSG00000117118	v39
PADI2	ENSG00000117115	v39
LINC02783	ENSG00000204362	v39
ENSG00000282843	ENSG00000282843	v39
PADI1	ENSG00000142623	v39
PADI3	ENSG00000142619	v39
MIR3972	ENSG00000266634	v39
PADI4	ENSG00000159339	v39
PADI6	ENSG00000276747	v39
RCC2-AS1	ENSG00000227751	v39
RCC2	ENSG00000179051	v39
ARHGEF10L	ENSG00000074964	v39
LINC02810	ENSG00000236648	v39
ACTL8	ENSG00000117148	v39
ENSG00000284653	ENSG00000284653	v39
LINC01654	ENSG00000261781	v39
IGSF21	ENSG00000117154	v39
ENSG00000280222	ENSG00000280222	v39
IGSF21-AS1	ENSG00000230035	v39
ENSG00000225387	ENSG00000225387	v39
KLHDC7A	ENSG00000179023	v39
DYNLL1P3	ENSG00000235282	v39
ENSG00000225478	ENSG00000225478	v39
PAX7	ENSG00000009709	v39
TAS1R2	ENSG00000179002	v39
ALDH4A1	ENSG00000159423	v39
MIR4695	ENSG00000265606	v39
MIR1290	ENSG00000221662	v39
IFFO2	ENSG00000169991	v39
ENSG00000272084	ENSG00000272084	v39
UBR4	ENSG00000127481	v39
EMC1-AS1	ENSG00000230424	v39
EMC1	ENSG00000127463	v39
MRTO4	ENSG00000053372	v39
ENSG00000286064	ENSG00000286064	v39
AKR7L	ENSG00000211454	v39
AKR7A3	ENSG00000162482	v39
ENSG00000270728	ENSG00000270728	v39
AKR7A2	ENSG00000053371	v39
RNU6-1099P	ENSG00000200403	v39
SLC66A1	ENSG00000040487	v39
CAPZB	ENSG00000077549	v39
RN7SL277P	ENSG00000240490	v39
MICOS10	ENSG00000173436	v39
RNU4-28P	ENSG00000201609	v39
ENSG00000235185	ENSG00000235185	v39
